ID,Nombre,Tipo,Director,Guionista1,Guionista2,Duración,Puntuación,Argumento
tt10005740,On Off,Short,Benjamin Soukup,David Sellers,Benjamin Soukup,4min,No especificado,
tt10010424,My Dear Work,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10011128,Similitude,Short,Hariyali Desai,No especificado,No especificado,No especificado,No especificado,No especificado
tt10016126,The Cult,Short,Brandon Young,No especificado,No especificado,No especificado,No especificado,No especificado
tt10019036,Attack of the Were-Devil-Lizard,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10026802,Mr Urde,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10027474,Onsen shikabane geisha,Movie,Kiyoto Naruse,No especificado,No especificado,No especificado,No especificado,No especificado
tt10031930,Deja Vu,Short,Abhishek Bist,No especificado,No especificado,No especificado,No especificado,No especificado
tt10039390,Worship Me,Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10039976,De oom op zoek naar mysterie (The Uncle in Search of Mystery),Short,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado
tt10042462,Murderabilia,Short,Neil Krolicki,Jake Mendes,Nilsa Noel,4min,No especificado,"The charismatic son of a dead serial-killer profits by hustling psychopath inmates for bizarre memorabilia, but his world is upended when a cop hires him to track down the skull of her father (one of his dad's victims) and a copy-cat ignites a new killing spree."
tt10048938,In Dark,Short,Christopher Jackson,No especificado,No especificado,No especificado,No especificado,No especificado
tt10052452,Jeremiah's Woods,Movie,William Stancik,No especificado,No especificado,No especificado,No especificado,No especificado
tt10054902,Safe Space,Short,Josiah Hunt,Josiah Hunt,Jacob Moncayo,2min,No especificado,"Taking place in the 80's, a group of friends decide to hang out and do some experimental drugs. Things get sinister when what first seems like just a bad trip turns out to be real."
tt10059452,MasqeD,Short,Diana Chemeris,No especificado,No especificado,No especificado,No especificado,No especificado
tt10060902,Second Hand Store Horror Tales,Movie,Dionne Jackson,No especificado,No especificado,No especificado,No especificado,No especificado
tt10071592,A Tap At The Window,Short,Jimmy Ren,Jimmy Ren,Jack Vang,8min,6.3,A short horror film about a young woman who's haunted by a mysterious creature tapping at her window.
